,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros
440,2018,1,Formosa,23556,7095,17,1603,57
441,2018,1,Jujuy,33856,10456,23,28,43
442,2018,1,La Pampa,10807,51389,8386,10556,1926
443,2018,1,La Rioja,16960,34984,13,253,35
444,2018,1,Mendoza,152931,36872,3086,6206,1852
445,2018,1,Misiones,56311,46880,328,5,56
446,2018,1,Neuquén,46714,55072,1000,12404,2713
447,2018,1,Río Negro,68769,31712,1251,4259,5128
448,2018,1,Salta,79936,51534,118,204,1391
449,2018,1,San Juan,54080,5068,826,2246,1048
450,2018,1,San Luis,11104,7594,368,16,2314
451,2018,1,Santa Cruz,18615,4474,1799,6734,2783
452,2018,1,Santa Fe,341997,300421,10674,11636,15298
453,2018,1,Santiago Del Estero,26788,54594,23,1432,81
454,2018,1,Tierra Del Fuego,19372,9663,531,1,2047
455,2018,1,Tucumán,158611,8921,107,368,50
456,2017,4,Buenos Aires,1241172,1718013,131181,60082,31448
457,2017,4,Capital Federal,571363,961688,36277,3119,9877
458,2017,4,Catamarca,27083,263,11,1,2200
459,2017,4,Chaco,55035,39690,389,380,1121
460,2017,4,Chubut,56378,15097,1187,14070,6708
461,2017,4,Córdoba,349710,324709,12778,12043,10739
462,2017,4,Corrientes,56786,34722,894,1334,35
463,2017,4,Entre Ríos,107764,73692,1894,10267,86
464,2017,4,Formosa,23410,6973,19,1603,51
465,2017,4,Jujuy,33844,9626,20,28,34
466,2017,4,La Pampa,10808,50495,8272,10569,1927
467,2017,4,La Rioja,16912,34984,14,253,31
468,2017,4,Mendoza,152896,16114,3015,6206,1920
469,2017,4,Misiones,56271,47470,95,5,54
470,2017,4,Neuquén,46739,54119,1017,12404,2692
471,2017,4,Río Negro,68690,30451,1250,4259,5114
472,2017,4,Salta,80705,50446,127,158,1376
473,2017,4,San Juan,54079,451,812,2246,1036
474,2017,4,San Luis,11104,1119,335,17,2329
475,2017,4,Santa Cruz,18614,1668,582,4638,3950
476,2017,4,Santa Fe,341680,293831,10602,10965,15382
477,2017,4,Santiago Del Estero,27313,40407,19,1025,80
478,2017,4,Tierra Del Fuego,19372,6906,530,1,2045
479,2017,4,Tucumán,156583,5223,105,102,319
480,2017,3,Buenos Aires,1288025,1571180,124920,35058,38777
481,2017,3,Capital Federal,583249,941092,33481,2814,9723
482,2017,3,Catamarca,26873,4411,12,1,2181
483,2017,3,Chaco,54888,37307,456,36,1072
484,2017,3,Chubut,56359,5645,1217,13503,6820
485,2017,3,Córdoba,344580,319360,10579,7137,14988
486,2017,3,Corrientes,56247,33993,947,1334,27
487,2017,3,Entre Ríos,107774,69596,1786,6245,63
488,2017,3,Formosa,22647,6816,428,2202,12
489,2017,3,Jujuy,33796,9395,20,23,8
490,2017,3,La Pampa,11378,49679,5153,11536,1944
491,2017,3,La Rioja,16638,34984,14,252,25
492,2017,3,Mendoza,154036,33788,2772,29,1866
493,2017,3,Misiones,56472,43880,110,5,9
494,2017,3,Neuquén,48001,52468,1044,11576,2695
